"","CODE","Species","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa_2004","tpa_2008","tpa_2009","tpa_2013","tpa_2014","tpa_2019","D_51","D_91","D_00","D_77"
"1","ADEPAV","Adenanthera pavonina",2339,3973,3393,3761,1422,6.57343269140286,NA,5.42580750113059,NA,6.37425858513594,6.67707804616547,1422.8389451082,1331.14032939834,1268.43115250261,1227.02224141473
"2","ADERIC","Adelia ricinella",1721,4398,3874,4558,2837,0.109412124750511,NA,2.86913647002438,NA,3.68917000291826,4.58579283232383,1578.91017180404,1271.76123721446,1232.3820869984,1310.28224926506
"3","ALBLEB","Albizia lebbeck",604,2014,3599,3622,3018,1.57783199358054,NA,0.0543244042316082,NA,NA,0.0614881639719919,1801.73411049339,1241.58844401234,1291.01594242708,1361.51580572987
"4","ALBPRO","Albizia procera",1189,2580,4732,4792,3603,2.81612540017236,NA,5.63356686838758,NA,4.12588288519281,3.65793502851083,1496.57233255818,1283.83712007661,1258.96982823889,1267.95618782184
"5","ALCLAT","Alchornea latifolia",2789,6347,9995,9318,6529,7.15182027651186,NA,3.44771554647551,NA,4.25381405060263,4.25273591246169,1364.99190697605,1094.56033999719,1047.77109819712,1246.566534017
"6","ALLCRA","Allophylus crassinervis",3924,7543,11343,11624,7700,NA,NA,NA,NA,NA,1.47708877074157,1245.79243594693,1150.75366367117,1112.79516308388,1219.24401006806
"7","ALLRAC","Allophylus racemosus",2516,4024,3359,3812,1296,NA,NA,NA,NA,0.0272548719243315,0.0593231475875186,1212.80089025195,1286.78588424887,1294.96738831609,1391.5422059511
"8","ALSPOR","Alsophila portoricensis",2147,5302,10017,9370,7223,0.342872593275385,NA,1.20951102274369,NA,0.800219987616218,1.5907791550395,1379.89643504792,1175.01861915377,1085.87877117797,1298.16091698858
"9","AMYELE","Amyris elemifera",2760,4466,3822,4335,1575,7.54319705205847,17.5311437692308,9.4690378974336,17.5610360296756,10.6173497033184,14.486922872619,1263.33177526195,1424.41611193558,1365.38801249585,1330.07500931781
"10","ANAPER","Anadenanthera peregrina",4290,9475,15180,14782,10492,NA,NA,NA,NA,0.0817646157729944,0.0593231475875186,1343.68651338106,1220.54130525102,1165.22223537542,1221.96951423803
"11","ANDINE","Andira inermis",3054,7271,10917,10913,7859,22.0621297567852,NA,21.6664524893442,NA,18.517430133411,17.5742380644596,1345.18914159635,1150.8690809506,1126.66245607204,1226.62803384675
"12","ARDOBO","Ardisia obovata",2960,4801,4069,4566,1606,12.0816224317576,NA,16.113078199024,NA,17.8417313469806,21.5674816872549,1591.24727967843,1351.79902823508,1354.26861407264,1357.12478246531
"13","ARTALT","Artocarpus altilis",995,3543,6447,6536,5541,0.723724247637549,NA,1.12080170922238,NA,1.66200009343863,2.16978684106696,1440.14906463789,1125.03587270946,1120.22229529055,1238.73573547255
"14","AVIGER","Avicennia germinans",1531,3568,5217,5533,4002,3.94063612387061,NA,3.53253896225956,NA,4.30605385889874,7.4398791116311,1506.87484865323,1246.53850916239,1229.95109505549,1252.09653643591
"15","BIXORE","Bixa orellana",6473,13079,18105,18149,11676,NA,NA,NA,NA,1.01794709115772,NA,1276.59219883041,1163.93828971052,1111.0240998684,1181.21222752328
"16","BOCFRU","Bocconia frutescens",3957,9055,14746,14337,10380,0.0275460446677071,NA,NA,NA,NA,NA,1350.30802730653,1214.58738464796,1164.34931454491,1223.82790940684
"17","BOUSUC","Bourreria succulenta",2482,5249,4460,5286,2804,4.87903988948787,56.8654912307692,19.359867682988,51.6497755429309,22.2397319434701,22.8239118758192,1377.17276024111,1282.63689056117,1263.35553890893,1272.38227798725
"18","BOUVIR","Bourreria virgata",2869,4675,3935,4529,1660,1.02861777982615,NA,0.676359849816685,NA,1.01794709115772,1.87602253722072,1497.11922556947,1495.16186667425,1459.67935945722,1475.93555538837
"19","BUCBUC","Bucida buceras",4413,9353,11972,12714,8301,12.2881433502025,NA,2.5041914380205,NA,2.28472492158511,3.36510234465691,1375.31499892924,1178.13615236906,1165.62722366832,1195.81192565243
"20","BUCTET","Buchenavia tetraphylla",3175,6846,11130,10457,7282,1.04384376723096,NA,0.248936394241085,NA,0.27790293414911,0.243787639503494,1330.42471169807,1178.81323252211,1071.00574385233,1248.94369408877
"21","BURSIM","Bursera simaruba",2406,4124,3121,3801,1395,7.90919291419177,54.4395300769231,11.7070276575133,47.2589134512543,9.86501932595323,9.3485486020213,1499.215572044,1389.86794710132,1354.77727126133,1401.12297547762
"22","BYRCRA","Byrsonima crassifolia",575,1007,2700,2790,2215,NA,0.231463307692308,NA,NA,NA,NA,1695.14797221765,1528.75254791438,1297.31532087122,1512.35635400008
"23","BYRLUC","Byrsonima lucida",1582,2922,4483,4837,3255,4.48488975724771,NA,4.89749216141162,NA,4.21434727715943,6.5297137071642,1431.54331191557,1239.66506326544,1263.72652255811,1319.62296027161
"24","BYRSPI","Byrsonima spicata",898,2726,3534,3113,2215,1.01629772256326,NA,1.19691826521581,NA,0.865189585973567,0.695549504416745,1667.28628554603,1345.69638947163,1306.48376684389,1315.7021592142
"25","BYRWAD","Byrsonima wadsworthii",1521,2353,3495,3161,1640,0.397964682610799,NA,0.365342127024147,NA,0.366570568976906,0.398933766479152,1257.92272357923,1067.60692938697,1070.16904137291,1297.02652061598
"26","CALANT","Calophyllum antillanum",3323,6745,7175,7127,3804,5.09659539226568,NA,9.89653826266934,NA,4.57221003863783,7.36921077798143,1417.37652387804,1193.2189784525,1206.1789722095,1245.99877206748
"27","CALPAL","Calyptranthes pallens",1153,1951,1507,1785,632,NA,NA,0.338179924908343,NA,0.67863139410515,0.738544385370785,1752.52273342656,1641.00183174198,1625.14007506395,1636.39515397388
"28","CASACU","Casearia aculeata",3240,6222,7073,7793,4553,NA,NA,1.35271969963337,NA,1.3572627882103,1.10781657805618,1394.44291790745,1228.8642870235,1188.3085309693,1227.15176540447
"29","CASARB","Casearia arborea",2346,5007,8484,7723,5377,8.43852067001015,NA,9.3937731806635,NA,7.3385682514542,5.98574970044416,1320.52259343654,1122.93184139475,1026.72042077253,1207.00575294604
"30","CASDEC","Casearia decandra",3133,7242,7794,7806,4673,3.18713481294596,NA,2.73260160138255,NA,2.47377297405656,2.4430930640387,1369.63238524968,1202.39408776944,1184.32472644921,1245.73478211463
"31","CASELA","Castilla elastica",6497,13153,18205,18297,11800,NA,NA,0.0543244042316082,NA,0.0817646157729944,0.0593231475875186,1275.08424119104,1161.06306492212,1107.6659541048,1178.85625130357
"32","CASEQU","Casuarina equisetifolia",1158,1727,1458,1686,528,NA,NA,0.162973212694825,NA,NA,NA,1785.83950827733,1707.56199264334,1659.05019539418,1620.31013940753
"33","CASGUI","Casearia guianensis",3230,7624,8504,8585,5355,54.3141454461815,NA,52.8020587484159,NA,44.3280959441179,43.7276751693671,1403.4494223774,1143.32326711069,1153.25222934037,1225.12907749098
"34","CASSYL","Casearia sylvestris",4699,9972,15647,15140,10441,43.5235172305948,NA,51.4127955894395,NA,42.8959157877149,33.997881799325,1274.17810378456,1111.28193068155,1082.29211871651,1175.57120347642
"35","CECSCH","Cecropia schreberiana",3156,6756,12562,11881,8725,14.5279955470865,NA,10.0260154021285,NA,11.766581216735,9.33493877430232,1278.17221457668,1127.39772035152,1063.70283010531,1226.63651875669
"36","CEDODO","Cedrela odorata",6806,13499,18539,18594,11788,0.137730223338536,NA,0.473990935487363,NA,0.109019487697326,0.118646295175037,1271.80928740416,1171.33521706418,1112.27855372655,1176.75769099868
"37","CEIPEN","Ceiba pentandra",3304,6475,7714,8357,5053,NA,NA,0.421278475658432,NA,0.400109993808109,0.42611738483436,1407.74566809745,1194.35907869969,1160.28113223707,1215.07833699068
"38","CHIDOM","Chionanthus domingensis",4245,8076,10138,9938,5693,0.370418637943092,NA,0.419666531255755,NA,0.733141137953813,1.50675034453533,1275.4244433945,1151.99928691259,1087.92636589264,1187.51090042694
"39","CHRARG","Chrysophyllum argenteum",3400,7116,7755,7662,4262,NA,NA,1.07047612335931,NA,1.01794709115772,0.912915603971226,1390.55312408412,1229.04884092626,1196.03196401518,1229.73990173875
"40","CHRCAI","Chrysophyllum cainito",5946,11780,15644,15873,9927,0.955433627986579,NA,0.452917252973085,NA,0.486298486485824,0.432925373041858,1276.12624775905,1168.7331580163,1124.57459745007,1197.15607570904
"41","CHRICA","Chrysobalanus icaco",927,1542,2602,2610,1683,0.370418637943092,NA,3.71997917399177,NA,4.41110406168347,2.95417754148314,1689.23537849458,1472.23843317984,1420.26259290379,1423.19001307893
"42","CHRPAU","Chrysophyllum pauciflorum",1659,4018,5959,6282,4623,0.346937918916894,0.231463307692308,0.17032316002633,0.231857974553069,0.222325881496323,0.26215653192768,1501.15865664957,1320.44799030891,1305.37754330338,1361.11833496759
"43","CINELO","Cinnamomum elongatum",4074,9202,14437,14093,10019,5.34420991825536,NA,3.3572757897304,NA,3.6186720986814,2.97067960329782,1291.64136440913,1137.64726752409,1085.63154348143,1199.41659079403
"44","CINMON","Cinnamomum montanum",3409,7820,10095,9901,6492,0.425510727278506,NA,0.0904397567451089,NA,0.456366507108594,0.555901700985842,1345.78544782959,1149.24583464185,1117.61396455364,1219.06911748373
"45","CITCAU","Citharexylum caudatum",1556,3199,4091,3733,2177,NA,NA,0.676359849816685,NA,NA,NA,1301.81342284588,1067.00966470043,1003.86220128023,1158.54938909618
"46","CITSPI","Citharexylum spinosum",3083,7640,9348,9653,6570,NA,NA,NA,NA,0.089795938131688,0.127306360712931,1358.76514918524,1148.62214627895,1141.00250864617,1204.77498030838
"47","CLUCLU","Clusia clusioides",1242,2188,3399,3216,1974,0.97728702032587,NA,0.0814866063474123,NA,NA,NA,1798.0081684389,1483.96473292672,1482.99407564881,1621.07785248815
"48","CLUROS","Clusia rosea",2893,4497,4027,4488,1595,2.92724433144926,NA,4.09858159889471,NA,4.0888446438996,4.47041789464509,1501.77483392865,1482.01890662368,1545.82130329,1631.84046459957
"49","COCDIV","Coccoloba diversifolia",3371,5418,4506,5221,1850,7.38920477355761,5.76656015384615,10.4367843042135,NA,9.07409839544595,9.32198228445655,1556.29385245554,1503.12619158298,1469.39347796867,1509.41787337443
"50","COCKRU","Coccoloba krugii",658,1071,806,979,321,3.77159852602923,NA,5.07269887362514,NA,4.75041975873605,5.53908289028089,1895.47592283724,1609.26603127337,1616.11011636614,1529.0107587309
"51","COCMIC","Coccoloba microstachya",956,1731,1616,1857,901,5.49895628129799,441.373315076923,10.7015373447878,560.541948423515,11.1956132142913,14.6477286139294,1654.57419268141,1455.48676354681,1318.08291300614,1393.18670960984
"52","COCPUB","Coccoloba pubescens",2897,5009,5012,5457,2560,5.79664497592359,0.231463307692308,NA,NA,NA,NA,1434.56347139906,1328.27050069579,1315.24157354172,1387.02218391889
"53","COCPYR","Coccoloba pyrifolia",1843,2625,3471,3251,1408,NA,NA,NA,NA,0.400109993808109,0.42611738483436,1314.2173784828,1680.211708184,1247.11455194799,1440.69055506584
"54","COCRUG","Coccoloba rugosa",1573,4508,5999,5504,3931,NA,NA,4.72939528251154,NA,4.47426146260533,5.55038135456841,1511.56414014902,1234.77816247623,1215.24021765185,1360.91740902951
"55","COCSIN","Coccoloba sintenisii",333,420,434,445,112,0.342872593275385,NA,0.0271622021158041,NA,1.72383335718721,1.84636096342696,1879.33891053381,4053.24573341001,2045.09494777825,1684.53059410968
"56","COCSWA","Coccoloba swartzii",2322,5070,8232,7795,5473,0.342872593275385,NA,NA,NA,NA,NA,1342.4889719391,1223.95601793868,1119.06528212145,1267.25889201771
"57","COCUVI","Coccoloba uvifera",5946,11780,15644,15873,9927,NA,NA,0.0879838142030917,NA,0.0987706338156028,0.104231284753209,1276.12624775905,1168.7331580163,1124.57459745007,1197.15607570904
"58","COCVEN","Coccoloba venosa",3352,7536,7689,8330,4978,NA,NA,1.00812829246642,NA,0.67863139410515,0.747676203680033,1422.4121420216,1211.7235223565,1185.65213187135,1288.55344353803
"59","COFARA","Coffea arabica",2528,6205,11490,11233,8705,11.0690860390294,NA,12.3422863426032,NA,5.08973545578862,2.58490534879775,1309.21140922132,1184.44686345754,1107.37741777635,1254.93161537438
"60","COJARB","Cojoba arborea",3674,5751,4817,5498,1824,1.26598474124021,NA,0.365342127024147,NA,0.366570568976906,0.398933766479152,1533.94151744084,1515.30202739826,1502.9821462002,1510.49520613067
"61","COLARB","Colubrina arborescens",2253,3615,3187,3652,1399,1.71436296637692,NA,1.57646509417051,NA,0.745710243767556,0.792911622081201,1461.64134064373,1516.59588321105,1446.83015940848,1493.45712657068
"62","COMDOD","Comocladia dodonaea",860,1516,1108,1396,536,0.866563438508563,20.1829605384615,0.676359849816685,25.9937670826838,0.67863139410515,0.738544385370785,1849.14716526226,1604.88172221969,1477.12968776108,1380.36295742859
"63","COMGLA","Comocladia glabra",1821,2865,2453,2750,929,0.342872593275385,NA,0.338179924908343,NA,1.01794709115772,1.47708877074157,1042.43700322657,1222.86070460408,1194.19316287038,1292.62054018829
"64","CONERE","Conocarpus erectus",1876,3420,4228,4708,2832,0.768383320553891,NA,0.757846456164098,NA,0.421080312825569,0.458256914066671,1466.205173744,1281.73815890587,1246.2523045371,1304.57431641668
"65","CORALL","Cordia alliodora",2341,6107,11161,10800,8459,2.81456407554947,NA,5.23113434933842,NA,4.48707237991469,3.16185681331308,1354.34542667568,1211.87870029989,1153.17688705214,1310.67868318762
"66","CORBOR","Cordia borinquensis",2369,5731,8694,7933,5564,3.30622169682012,NA,1.74522402877332,NA,1.07245683500639,1.1671397256437,1364.61042834296,1106.99459008756,1064.20739655755,1245.56509932732
"67","CORCOL","Cordia collococca",959,3064,5177,5553,4594,NA,NA,0.338179924908343,NA,0.339315697052575,0.369272192685393,1521.74629236146,1273.20022317815,1204.00043685658,1333.3189454975
"68","CORLAE","Cordia laevigata",4406,9120,11523,12161,7755,2.32769667679263,NA,NA,NA,NA,0.148307868968796,1358.36876109876,1202.52203697714,1169.92328202597,1224.00055550382
"69","COROBO","Cornutia obovata",5946,11780,15644,15873,9927,NA,NA,NA,NA,NA,0.0296615737937593,1276.12624775905,1168.7331580163,1124.57459745007,1197.15607570904
"70","CORRIC","Cordia rickseckeri",2553,5016,6060,6700,4147,0.68574518655077,NA,0.00443893870146112,NA,0.00521995550273831,NA,1394.59228230196,1252.52567849561,1224.75622241807,1250.56382286081
"71","CORSUL","Cordia sulcata",1965,4607,9054,8331,6366,2.75534065850853,NA,6.3132635276409,NA,6.5182576728215,6.25919891374142,1305.36860011216,1113.69274628789,1066.78564416645,1240.26341901588
"72","CRECUJ","Crescentia cujete",3322,5718,6103,6775,3453,0.0332386969961233,NA,0.0316387773146524,NA,NA,0.0318265901782327,1455.8986339857,1287.20694158994,1280.71207787743,1299.15633560114
"73","CROAST","Croton astroites",770,1673,1673,2020,1250,1.93301409883556,NA,2.55963945377591,NA,0.959286836594915,0.426273592583725,1863.90123904066,1457.21150832837,1374.89830469067,1440.25236891705
"74","CROFLA","Croton flavens",1215,2549,1860,2378,1163,1.44266384953498,NA,0.876216361288348,NA,NA,NA,1553.2925036044,1339.24271080683,1272.06711797594,1316.18015739394
"75","CROPOE","Croton poecilanthus",588,787,839,797,209,1.2214400925001,NA,1.09602638107244,NA,0.705886266029481,0.0296615737937593,1161.70333648526,NA,1000.81848278896,1199.57388845408
"76","CRORHA","Crossopetalum rhacoma",641,1120,782,959,318,3.77159852602923,NA,4.39633902380845,14.4409817126021,4.41110406168347,6.27762727565168,1668.43074033978,1923.40384498185,1750.23346402969,1436.85434315825
"77","CSSGUI","Cassipourea guianensis",3913,8059,10871,10321,6408,NA,NA,0.0316387773146524,NA,0.67863139410515,0.738544385370785,1335.48642528259,1167.94780737869,1106.64193995503,1213.49650335666
"78","CUPAME","Cupania americana",3880,8071,11789,11859,7979,3.72596041885737,NA,4.98339888264224,NA,4.00913866943157,4.49292827137791,1336.77843174026,1149.04182110889,1132.98196832647,1200.00514333102
"79","CYAARB","Cyathea arborea",2569,5872,9975,9320,6751,2.74765929301258,NA,6.55669659509387,NA,5.83919309132109,2.69050571887251,1309.0345161511,1144.2131971432,1073.77306043816,1233.33166077367
"80","CYRRAC","Cyrilla racemiflora",718,799,837,815,97,0.137730223338536,NA,0.0271622021158041,NA,0.0272548719243315,0.0296615737937593,1866.72684302854,5857.62356860136,2008.71996460092,3326.3062355367
"81","DACEXC","Dacryodes excelsa",2059,4244,6836,6191,4132,0.673425129287871,NA,1.14420580538688,NA,1.15092587717855,1.09417033184182,1363.65365232398,1069.43133998557,1042.27384348403,1233.98524691846
"82","DAPAME","Daphnopsis americana",1152,2213,3803,3423,2271,0.0332386969961233,NA,1.63526607360097,NA,1.5785393182139,1.70879957210639,1262.56457985696,1219.12531103251,1148.7373120516,1380.12102691898
"83","DAPPHI","Daphnopsis philippiana",2420,4668,8031,7372,4952,0.342872593275385,NA,0.338179924908343,NA,0.339315697052575,NA,1319.47682596517,1238.9260926808,1132.10123769488,1290.00546400706
"84","DELREG","Delonix regia",3763,8176,12719,12506,8743,0.124007482282263,NA,0.852725151610668,NA,1.97353534950749,2.05179039062515,1343.37666475396,1223.14276611307,1187.68834960472,1235.98347092424
"85","DENARB","Dendropanax arboreus",4437,8583,13929,13393,8956,8.20034259055233,NA,9.04711781541694,NA,9.9497478359282,8.42294278858191,1244.74570475247,1128.10323860027,1080.08476449904,1206.36911722907
"86","DITMYR","Ditta myricoides",794,1148,1464,1264,470,0.68574518655077,NA,0.676359849816685,NA,0.705886266029481,NA,1707.39362870317,1454.20921580328,1369.08796986816,1345.84840273348
"87","DRYALB","Drypetes alba",3253,5587,6020,6336,3083,2.74298074620308,NA,NA,NA,NA,NA,1366.23716198214,1339.11065216367,1337.97667680917,1374.22304058572
"88","DRYGLA","Drypetes glauca",1501,2151,2581,2399,898,0.425510727278506,NA,0.338179924908343,NA,0.0272548719243315,0.0296615737937593,1345.4978436411,1287.27641219249,1263.77502183197,1443.63570981793
"89","ERIFRU","Erithalis fruticosa",1727,2893,2311,2743,1016,1.37149037310154,NA,0.676359849816685,NA,0.708563373482379,0.0318265901782327,1723.02555392102,1569.27016322543,1491.52800913431,1557.25449800699
