Code,species,WD,THK,LA.wp,SLA.wp,MAXHT,seed_mass
ADEPAV,Adenanthera pavonina,0.60277991,152.4444444,1233.654518,150.8393019,6.5,234
ADERIC,Adelia ricinella,0.817326947,136.6666667,23.93057147,138.3520253,4,NA
ALCLAT,Alchornea latifolia,0.430138969,179.302682,179.2952453,163.8239611,27,34
ALLCRA,Allophylus crassinervis,0.881489862,207.25,16.15970792,118.3069046,8,NA
ALLRAC,Allophylus racemosus,0.686336981,204.2888889,235.0207448,242.4582029,8,18.55
AMYELE,Amyris elemifera,0.911156945,225.6262626,27.46144804,74.89156875,8,63.1696
ANDINE,Andira inermis,0.738835596,161.9027778,385.2892141,189.8808778,28,792
ARDOBO,Ardisia obovata,0.805142717,395.9377778,50.95726004,71.55747892,12,NA
ARTALT,Artocarpus altilis,0.44683506,288,713.6953333,196.8713333,16,5898
BOUSUC,Bourreria succulenta,0.749497768,281.025641,23.06091297,114.0318324,10,16.4756
BOUVIR,Bourreria virgata,0.804041863,290.5555556,10.83866897,80.43109454,15,21.0532
BUCBUC,Bucida buceras,0.935231475,247.9583333,10.99841035,91.6496375,25,38
BUCTET,Buchenavia tetraphylla,0.668729366,195.3111111,22.89388163,241.1821938,30,586.04
BURSIM,Bursera simaruba,0.408846119,207.8647343,100.3336848,136.2139871,21,117
BYRSPI,Byrsonima spicata,0.676861271,164.2777778,20.99652813,218.7030325,28,108
BYRWAD,Byrsonima wadsworthii,0.587397089,286.2777778,27.7614592,87.52933138,19,NA
CALANT,Calophyllum antillanum,0.669935491,283.9444444,73.44218385,133.6142177,35,1000
CASARB,Casearia arborea,0.664983974,181.6919192,19.02270949,177.3661477,28,1.65
CASDEC,Casearia decandra,0.77967418,122.9,14.42690396,258.3533886,10,88.1
CASELA,Castilla elastica,0.291154684,191,416.1735704,264.0514617,2,568.18
CASGUI,Casearia guianensis,0.807814077,148.0222222,44.17648438,191.0552082,15,NA
CASSYL,Casearia sylvestris,0.673697322,167.2222222,59.75374673,149.3326007,12,3
CECSCH,Cecropia schreberiana,0.299201722,267.0864198,1748.5266569999999,147.1927964,25,0.6
CEIPEN,Ceiba pentandra,0.303049231,NA,364.39,343.49,35,59
CHIDOM,Chionanthus domingensis,0.86194604,213.0555556,81.7644631,139.418911,23,NA
CHRARG,Chrysophyllum argenteum,0.789692307,203.3968254,49.6208973,181.7288127,24,236.5
CHRPAU,Chrysophyllum pauciflorum,0.921634964,235.5396825,19.91613246,125.3371306,12,NA
CINELO,Cinnamomum elongatum,0.583127077,NA,28.63933333,185.214,33,NA
CINMON,Cinnamomum montanum,0.504555451,159.9814815,24.34180101,155.7895246,22,NA
CITCAU,Citharexylum caudatum,0.638421219,NA,40.714,190.7593333,NA,NA
CITSPI,Citharexylum spinosum,0.676332689,326.537037,41.24392728,167.8403222,19,73.0957
CLUCLU,Clusia clusioides,0.586571429,NA,113.045,34.18,NA,NA
CLUROS,Clusia rosea,0.75942992,849.1666667,110.2829417,25.7345768,25,11.3808
COCDIV,Coccoloba diversifolia,0.8267833,217.4962963,39.83395009,92.83507283,17,NA
COCKRU,Coccoloba krugii,0.803922597,379.9259259,12.44092375,58.01309286,4.5,22.9532
COCMIC,Coccoloba microstachya,0.816958416,329.9555556,8.745896136,68.83623612,9,37
COCPUB,Coccoloba pubescens,0.867839849,500.0833333,955.8042985,73.1111409,20,27.144
COCPYR,Coccoloba pyrifolia,0.673755982,287.0833333,43.38516505,84.26827248,7,43.6
COCRUG,Coccoloba rugosa,0.761756787,381.2555556,1372.782125,37.06288892,15,NA
COCSIN,Coccoloba sintenisii,0.702789775,389.437037,146.9088072,53.35981401,7,NA
COCSWA,Coccoloba swartzii,0.679182085,388.3671498,82.43277682,77.3510137,18,NA
COCUVI,Coccoloba uvifera,0.73846227,461.8555556,221.1803612,66.32024873,7,632
COFARA,Coffea arabica,0.666733771,221.0888889,64.53527408,174.0544276,7,188.3
COJARB,Cojoba arborea,0.570324627,143.5555556,163.7024129,76.44635155,4.5,850
COLARB,Colubrina arborescens,0.870159995,247.4444444,59.44033843,85.89715348,13,15.075
COMDOD,Comocladia dodonaea,0.837742465,206.2888889,37.86846615,70.45138402,6.5,NA
COMGLA,Comocladia glabra,0.761581055,126.5111111,17.27466667,215.248,8,NA
CORALL,Cordia alliodora,0.575902847,215.3777778,44.30237826,139.9719926,5,33
CORBOR,Cordia borinquensis,0.67017749,306.8888889,132.9286248,165.0167243,11,61.56
CORLAE,Cordia laevigata,0.480277102,188.3333333,48.5093526,135.3438543,4.5,47.6608
CORSUL,Cordia sulcata,0.559581852,392.1111111,521.5051323,100.6058064,25,81.4948
CROFLA,Croton flavens,0.961319898,239.5185185,20.85813246,181.4611097,5,NA
CROPOE,Croton poecilanthus,0.582214219,576.4666667,121.483871,142.2883871,13,NA
CRORHA,Crossopetalum rhacoma,0.939303595,427.4333333,3.262155752,52.73491254,4,19.8744
CSSGUI,Cassipourea guianensis,0.765860106,206.6041667,28.68842327,165.102972,10,NA
CUPAME,Cupania americana,0.5025,NA,315.41,135.16,17,197.64
CYRRAC,Cyrilla racemiflora,0.580838172,317.7333333,21.0238919,77.74172343,13,NA
DACEXC,Dacryodes excelsa,0.507989783,218.5299145,529.1321962,129.5060676,28,1988.07
DAPPHI,Daphnopsis philippiana,0.356617351,335.4555556,32.65501234,125.916548,5,NA
DENARB,Dendropanax arboreus,0.46467937,217.5132275,70.2859667,214.652433,30,8
DITMYR,Ditta myricoides,0.42522894,313.6888889,11.65797669,106.0222993,9,NA
DRYALB,Drypetes alba,0.726896355,199.7777778,39.34479947,131.0802932,14,NA
DRYGLA,Drypetes glauca,0.694962363,217.3111111,56.79770966,139.6844093,17,NA
ERIFRU,Erithalis fruticosa,1.023628308,502.6777778,13.86739497,48.60143284,3.5,NA
ERYARE,Erythroxylum areolatum,0.930545126,213.4567901,14.26529182,116.1929091,8,NA
ERYPOE,Erythrina poeppigiana,0.324989708,124.2222222,502.1049163,379.2501888,24,245
ERYROT,Erythroxylum rotundifolium,0.984493196,224.2222222,1.181258257,97.59893309,6,20.5465
ERYRUF,Erythroxylum rufum,0.950822015,194.7111111,40.58090844,166.9023945,3,NA
EUGAXI,Eugenia axillaris,0.888336743,289.6222222,15.56126218,81.26648576,6,158.9
EUGBIF,Eugenia biflora,0.805339482,250.6444444,7.268658704,100.5496554,18,97.92
EUGBOR,Eugenia borinquensis,0.4665,NA,103.554,55.611,NA,NA
EUGDOM,Eugenia domingensis,0.564446579,247.4166667,42.17733333,95.314,20,25.87
EUGLIG,Eugenia ligustrina,1.01784157,261.3111111,4.456037929,83.21975984,3,NA
EUGMON,Eugenia monticola,0.858228983,200.6720867,2.900834804,106.903796,19,NA
EUGPSE,Eugenia pseudopsidium,0.911617723,215.4848485,27.34892411,105.6434169,9,NA
EUGRHO,Eugenia rhombea,0.939445443,294.7888889,8.381956101,64.02254137,6,NA
EUGSTA,Eugenia stahlii,0.728793857,384.9,49.72505251,85.74476574,23,NA
EXOCAR,Exostema caribaeum,0.933805399,230.6464647,6.214811063,86.3030788,11,NA
EXOPAN,Exothea paniculata,0.737322109,131.8194445,57.96796526,162.4232733,14,NA
FAROCC,Faramea occidentalis,0.738158583,181.3407407,53.92664422,198.5756813,9,300
FICAME,Ficus americana,0.486519806,215.0555556,53.79085778,126.1857886,17,NA
FICCIT,Ficus citrifolia,0.490161223,260.3827161,41.90101412,126.6175776,28,0.6
GENAME,Genipa americana,0.626962069,NA,114.79,160.09,20,106
GESPED,Gesneria pedunculosa,0.744258131,299.7111111,31.62403286,150.555304,5,NA
GUACAR,Guatteria caribaea,0.67859854,305.75,23.33428196,109.5496751,NA,NA
GUAFRA,Guapira fragrans,0.628042363,317.4285714,25.32756662,124.6362122,22.5,52
GUAGLA,Guarea glabra,0.570363918,207.0296296,367.6059505,153.7631088,12,595
GUAGUI,Guarea guidonia,0.603745926,188.5873016,632.6101539,221.7594176,20,500
GUAOBT,Guapira obtusata,0.659363774,245.7037037,82.56342337,124.8797467,4.5,NA
GUAOFF,Guaiacum officinale,1.021323866,254.9222222,36.70473203,64.75539077,7,NA
GUAULM,Guazuma ulmifolia,0.525926316,NA,42.69,322.09,17,47
GUEELL,Guettarda elliptica,0.908929778,221.1222222,6.119206652,131.2805784,7,86.298
GUEOVA,Guettarda ovalifolia,0.713895038,174.7777778,47.2898828,202.675005,10,NA
GUESCA,Guettarda scabra,0.829841831,399.1616162,26.1900392,102.583055,14,NA
GUEVAL,Guettarda valenzuelana,0.604209748,421.6111111,86.13864724,90.23123049,22,NA
GYMLAT,Gyminda latifolia,0.862964727,350.5777778,6.320925642,80.30804239,12,38.2155
GYMLUC,Gymnanthes lucida,0.923566003,237.236715,14.39291113,94.44891167,14,NA
HELJAM,Helicteres jamaicensis,0.807694796,276.3492064,98.06386984,119.1847257,5.5,1337.96
HENFAS,Henriettea fascicularis,0.47443242,188.5555556,28.77933333,280.3733333,3,NA
HENMAC,Henriettea macfadyenii,0.575499409,196.6666667,33.9067605,192.6020724,5,NA
HIRRUG,Hirtella rugosa,0.856089422,212.6222222,19.07064454,124.9520373,9,96.892
HOMRAC,Homalium racemosum,0.790200521,187.9555556,35.3446682,226.0411287,30,NA
HYPTRI,Hypelate trifoliata,1.028529859,310.4444444,8.701129903,54.73865275,6,NA
ILENIT,Ilex nitida,0.655514127,259.2698413,48.32122012,126.0084656,17,NA
ILESID,Ilex sideroxyloides,0.772795015,NA,18.70666667,180.1566667,3,NA
INGLAU,Inga laurina,0.679611516,220.5111111,206.1755368,141.7319236,28,892.86
INGVER,Inga vera,0.605008315,173.4920635,523.3424,242.7776,9,NA
IXOFER,Ixora ferrea,0.697065875,230.0740741,68.4412724,137.0760111,9,NA
KRUFER,Krugiodendron ferreum,0.957352001,170.1014493,13.66621734,117.8833885,17,90.09
LAEPRO,Laetia procera,0.666998579,NA,128.0608,302.43,30,4
LEULEU,Leucaena leucocephala,0.687443655,147.5111111,59.03898181,109.7780581,9,43.27
LICBRI,Licaria brittoniana,0.562043713,148.6666667,34.84209848,146.8035856,25,NA
LICPAR,Licaria parvifolia,0.780449774,252.0888889,16.2295638,80.26022878,19,NA
LONGLA,Lonchocarpus glaucifolius,0.80414719,234.7948718,84.5287233,94.15122388,18,NA
LONHEP,Lonchocarpus heptaphyllus,0.685125371,NA,192.71,144.06,10,91
MAGPOR,Magnolia portoricensis,0.625100991,258.8444444,79.69494271,100.5107411,15,135.53
MAGSPL,Magnolia splendens,0.469333333,NA,109.2609091,106.7272727,25,NA
MAMAME,Mammea americana,0.789289012,378.5555556,100.8260137,76.09275534,17,73300
MANBID,Manilkara bidentata,0.839466604,268.0808081,150.4347989,93.17410025,12,1500
MANIND,Mangifera indica,0.576040704,181.1555556,283.4946667,125.7686667,18,16466
MARNOB,Margaritaria nobilis,0.533196408,NA,76.37333333,156.216,13,11
MATDOM,Matayba domingensis,0.735805517,260.8888889,33.7343887,71.79409939,28,NA
MAYELO,Maytenus elongata,0.748879561,NA,27.24625,103.944375,3,NA
MELHER,Meliosma herbertii,0.485808211,246.6944445,210.465627,158.1109369,20,NA
MICGAR,Micropholis garciniifolia,NA,498.6444444,41.12332517,65.94702985,17,NA
MICGUY,Micropholis guyanensis,0.764370669,331.5755556,32.87008458,69.45061381,25,1142.86
MICIMP,Miconia impetiolaris,0.758613667,213.5833333,210.3095,195.8715,4.5,NA
MICLAE,Miconia laevigata,0.483406458,NA,26.38,188.8626667,3,NA
MICPAC,Miconia pachyphylla,0.687583333,NA,44.74133333,118.1053333,NA,NA
MICPRA,Miconia prasina,0.661806593,168.6666667,58.25319992,156.3868944,9,5.7168
MICRAC,Miconia racemosa,0.43721456400000003,169.030303,100.444,226.4932,10,2
MICSIN,Miconia sintenisii,0.436916667,NA,73.47866667,96.80666667,NA,0.048
MICTET,Miconia tetrandra,0.660691633,211.9494949,108.4375829,132.2611611,21,NA
MOUHEL,Mouriri helleri,1.036882172,344.9444445,6.110736764,84.03922928,11,NA
MYRCOR,Myrsine coriacea,0.652871088,264.5555555,17.20402082,110.0151224,17,9.34
MYRDEF,Myrcia deflexa,0.807127193,248.6611111,65.49730504,112.9646487,18,NA
MYRFAL,Myrcia fallax,0.880047628,200.8888889,37.08876711,140.7603147,19,NA
MYRSPL,Myrcia splendens,0.744340679,151.0555556,25.46828961,382.8177427,4,173
NECCOR,Nectandra coriacea,0.717952139,209.6919192,30.52515694,94.92088448,34,NA
NECTUR,Nectandra turbacensis,0.589532282,188,153.3279143,138.220474,8,410
NEEBUX,Neea buxifolia,0.728870713,267.4722222,1.333166523,172.6094762,6,23.1772
NEORES,Neolaugeria resinosa,0.724916164,178.5019157,18.36578831,114.5565616,21,NA
OCHPYR,Ochroma pyramidale,0.165925641,NA,169.6,225.56,27,10.2
OCOFLO,Ocotea floribunda,0.424580988,NA,113.1373333,157.0726667,20,1643.32
OCOLEU,Ocotea leucoxylon,0.499727496,218.7154472,166.1296835,123.1518399,30,100
OCOSPA,Ocotea spathulata,0.61396144,376.9444444,44.0659329,73.55309611,10,NA
ORMKRU,Ormosia krugii,0.516591536,180.1333333,1402.33764,167.3877816,28,720
PALRIP,Palicourea croceoides,0.475268182,127.6944444,76.14909091,253.1822727,5,200
PERAME,Persea americana,0.530551645,162,90.44101596,170.6231186,21,15308
PETDOM,Petitia domingensis,0.604667297,462.3333333,69.35331918,87.40845815,25,12.47
PICACU,Pictetia aculeata,0.990253994,253.5277778,19.86112488,99.91767447,10,NA
PICPEN,Picramnia pentandra,0.9807088,186.5,161.9744972,124.4783968,8,105.9
PIMRAC,Pimenta racemosa,0.958278813,354.1851852,22.26959603,55.18908896,8,28.01
PIPADU,Piper aduncum,0.548162288,NA,38.55133333,185.006,7,NA
PIPAMA,Piper amalago,NA,150.6111111,56.12189581,271.6523181,5,1.36
PIPBLA,Piper blattarum,0.45785977,183.1759259,47.03291667,270.9554167,2,NA
PISALB,Pisonia albida,0.595706282,270.6666667,26.19749321,109.5637403,3,10.2
PISSUB,Pisonia subcordata,0.521259838,NA,145.34,138.42,17,14
PITUNG,Pithecellobium unguis-cati,0.937801719,191.7777778,10.42350886,101.114154,8,88.77
PLUALB,Plumeria alba,0.495394562,470.8,70.72504087,50.55852892,9,26
PLUOBT,Plumeria obtusa,0.532799342,238.7777778,49.96721869,227.0050419,3.5,NA
POIFLO,Poitea florida,0.875470216,202.3888889,7.41175887,126.1967688,14,17
POUMUL,Pouteria multiflora,0.820799137,191.962963,171.3426458,105.6834608,14,16000
PRUMYR,Prunus myrtifolia,0.915410877,161.1944444,22.23997487,143.0545095,8.5,NA
PSESPU,Pseudolmedia spuria,0.690606911,148.962963,41.23085309,170.6363223,19,1700.84
PSYBRA,Psychotria brachiata,0.418549807,262.9111111,75.7,325.123,5,NA
PSYGRA,Psychotria grandis,0.325769462,126.8222222,195.9793802,196.1266613,17,NA
QUATUR,Quararibea turbinata,0.591129426,152.5555555,101.3003715,182.3588953,10,NA
RANACU,Randia aculeata,0.981954371,198.9920635,4.859957305,134.3271019,6.5,NA
RAUNIT,Rauvolfia nitida,0.465,NA,22.81,457.95,7,NA
REYUNC,Reynosia uncinata,1.022220268,305.2222222,1.786479783,52.36390189,NA,NA
ROCACA,Rochefortia acanthophora,0.927591145,202.7222222,1.385829067,102.0599372,4,NA
RONINE,Rondeletia inermis,0.778105128,290.3,14.82239832,111.2521323,5,0.0788
ROYBOR,Roystonea borinquena,0.739967091,NA,60383.37667,121.1626667,17,333.33
SAMDOD,Samyda dodecandra,0.8004896,216.8148148,29.9330665,123.39608,6.5,NA
SAPLAU,Sapium laurocerasus,0.469707152,271.8730159,74.19376109,277.3738731,24,NA
SCHFRU,Schaefferia frutescens,0.942216616,238.4343434,8.222583301,114.0863914,7,38.2968
SCHOBO,Schoepfia obovata,0.579912997,328.4444444,4.360751307,67.13341067,5,NA
SIDOBO,Sideroxylon obovatum,0.96354011,292.5666667,6.228935831,74.01574953,9,NA
SIDSAL,Sideroxylon salicifolium,0.842611793,205.662037,21.79261586,101.5564497,25,69.6
SLOAMY,Sloanea amygdalina,0.784991099,133.2222222,114.2998069,134.3430704,12,NA
SLOBER,Sloanea berteriana,0.800125551,190.2751323,225.3026563,114.0951604,23,460
SPACAM,Spathodea campanulata,0.335362879,195.5555556,610.5010117,236.6200677,5,5
SWIMAC,Swietenia macrophylla,0.519537267,130.3636364,763.3712,242.5484,18,566
SYMMAR,Symplocos martinicensis,0.663532699,168.3611111,172.51425,148.15624,15,NA
SYZJAM,Syzygium jambos,0.637763796,266.2619048,40.11330919,88.58468594,18,1340
TABCIT,Tabernaemontana citrifolia,0.553789665,239.2888889,66.46687063,246.1738461,5,23.0989011
TABHET,Tabebuia heterophylla,0.786032932,337.3744856,145.135622,117.5806975,12,10
TABRIG,Tabebuia rigida,0.693625,NA,147.368,121.817,NA,NA
TABSCH,Tabebuia schumanniana,0.741305248,417.7555556,116.0440083,73.14735248,20,14.73
TAMIND,Tamarindus indica,0.812380723,170.3777778,16.60643373,191.4504112,11,646
TETBAL,Tetragastris balsamifera,0.551419671,169.7222222,604.2189239,127.196777,13,NA
TETELA,Tetrazygia elaeagnoides,0.754444614,329.3518519,13.66108362,109.7905793,14,NA
THOSTR,Thouinia striata,0.926572126,192.1712963,114.1399747,137.1655334,22,9.3324
TRIPAL,Trichilia pallida,0.697209801,207.9333333,99.1512521,180.7746615,9,43.0228
TUROCC,Turpinia occidentalis,0.508747642,216.9722222,205.5155703,125.7073321,27,40
UREBAC,Urera baccifera,0.371734872,164,149.4788,629.5152,4,NA
VITDIV,Vitex divaricata,0.651594803,179.6666667,114.0644933,133.3439053,29,NA
ZANFLA,Zanthoxylum flavum,0.86361287,331.1367521,145.9757947,71.42103239,9,25.15
ZANMAR,Zanthoxylum martinicense,0.566025108,212.1111111,370.8468058,242.3988413,33,15.3504
ZANMON,Zanthoxylum monophyllum,0.793975622,207.9333333,22.0499657,141.8967295,6,NA
ZIZRET,Ziziphus reticulata,0.953860843,414.5,14.27027782,70.88891112,NA,211.9696
