"","X","CODE","Species","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa_2014","tpa_2004","tpa_2008","tpa_2009","tpa_2013","tpa_2019","D_51","D_77","D_91","D_00","WD","THK","LA.wp","SLA.wp","MAXHT","seed_mass","PC1"
"1",1,"ADEPAV","Adenanthera pavonina",2339,3973,3393,3761,1422,6.37425858513594,6.57343269140286,NA,5.42580750113059,NA,6.67707804616547,1422.8389451082,1227.02224141473,1331.14032939834,1268.43115250261,-0.46314955243699,-0.954221027141051,0.146089311664512,0.134589106710896,-1.03692013653816,-0.15808063249593,-0.681972050502569
"2",2,"ADERIC","Adelia ricinella",1721,4398,3874,4558,2837,3.68917000291826,0.109412124750511,NA,2.86913647002438,NA,4.58579283232383,1578.91017180404,1310.28224926506,1271.76123721446,1232.3820869984,0.749580749079947,-1.10940947190655,-0.10518610525933,-0.0350384673630576,-1.3335658012916,0.41546604111846,-1.61517905638133
"3",3,"ALBLEB","Albizia lebbeck",604,2014,3599,3622,3018,NA,1.57783199358054,NA,0.0543244042316082,NA,0.0614881639719919,1801.73411049339,1361.51580572987,1241.58844401234,1291.01594242708,NA,NA,NA,NA,NA,NA,NA
"4",4,"ALBPRO","Albizia procera",1189,2580,4732,4792,3603,4.12588288519281,2.81612540017236,NA,5.63356686838758,NA,3.65793502851083,1496.57233255818,1267.95618782184,1283.83712007661,1258.96982823889,NA,NA,NA,NA,NA,NA,NA
"5",5,"ALCLAT","Alchornea latifolia",2789,6347,9995,9318,6529,4.25381405060263,7.15182027651186,NA,3.44771554647551,NA,4.25273591246169,1364.99190697605,1246.566534017,1094.56033999719,1047.77109819712,-1.43900502618608,-0.690046426538957,-0.0729148393198146,0.310973142303816,1.39557431444006,-0.182813125374647,0.882404436827713
"6",6,"ALLCRA","Allophylus crassinervis",3924,7543,11343,11624,7700,NA,NA,NA,NA,NA,1.47708877074157,1245.79243594693,1219.24401006806,1150.75366367117,1112.79516308388,1.11226257560247,-0.415159753760782,-0.106800214812163,-0.307332043078405,-0.858932737686093,0.162763057182432,-1.06128512629863
"7",7,"ALLRAC","Allophylus racemosus",2516,4024,3359,3812,1296,0.0272548719243315,NA,NA,NA,NA,0.0593231475875186,1212.80089025195,1391.5422059511,1286.78588424887,1294.96738831609,0.00915802787092193,-0.444284909097889,-0.0613399274067978,1.3791432568089,-0.858932737686093,-0.184723710449528,-0.821470274248161
"8",8,"ALSPOR","Alsophila portoricensis",2147,5302,10017,9370,7223,0.800219987616218,0.342872593275385,NA,1.20951102274369,NA,1.5907791550395,1379.89643504792,1298.16091698858,1175.01861915377,1085.87877117797,NA,NA,NA,NA,NA,NA,NA
"9",9,"AMYELE","Amyris elemifera",2760,4466,3822,4335,1575,10.6173497033184,7.54319705205847,17.5311437692308,9.4690378974336,17.5610360296756,14.486922872619,1263.33177526195,1330.07500931781,1424.41611193558,1365.38801249585,1.27995620127449,-0.234412904127052,-0.10445269621607,-0.897087386356494,-0.858932737686093,-0.179205940753272,-0.837004434252991
"10",10,"ANAPER","Anadenanthera peregrina",4290,9475,15180,14782,10492,0.0817646157729944,NA,NA,NA,NA,0.0593231475875186,1343.68651338106,1221.96951423803,1220.54130525102,1165.22223537542,NA,NA,NA,NA,NA,NA,NA
"11",11,"ANDINE","Andira inermis",3054,7271,10917,10913,7859,18.517430133411,22.0621297567852,NA,21.6664524893442,NA,17.5742380644596,1345.18914159635,1226.62803384675,1150.8690809506,1126.66245607204,0.305907226034734,-0.861189924895294,-0.0301272095117993,0.664931151664166,1.51423258034144,-0.0890769773643083,0.207107001914373
"12",12,"ARDOBO","Ardisia obovata",2960,4801,4069,4566,1606,17.8417313469806,12.0816224317576,NA,16.113078199024,NA,21.5674816872549,1591.24727967843,1357.12478246531,1351.79902823508,1354.26861407264,0.680709208702292,1.44075198107366,-0.0995723100972376,-0.942377771740248,-0.384299674080587,-0.0567387147195525,0.339721216323977
"13",13,"ARTALT","Artocarpus altilis",995,3543,6447,6536,5541,1.66200009343863,0.723724247637549,NA,1.12080170922238,NA,2.16978684106696,1440.14906463789,1238.73573547255,1125.03587270946,1120.22229529055,-1.34463012473925,0.379088153206095,0.0380870180059945,0.759889727991124,0.090333389524919,0.542343565829347,0.424471443316827
"14",14,"AVIGER","Avicennia germinans",1531,3568,5217,5533,4002,4.30605385889874,3.94063612387061,NA,3.53253896225956,NA,7.4398791116311,1506.87484865323,1252.09653643591,1246.53850916239,1229.95109505549,NA,NA,NA,NA,NA,NA,NA
"15",15,"BIXORE","Bixa orellana",6473,13079,18105,18149,11676,1.01794709115772,NA,NA,NA,NA,NA,1276.59219883041,1181.21222752328,1163.93828971052,1111.0240998684,NA,NA,NA,NA,NA,NA,NA
"16",16,"BOCFRU","Bocconia frutescens",3957,9055,14746,14337,10380,NA,0.0275460446677071,NA,NA,NA,NA,1350.30802730653,1223.82790940684,1214.58738464796,1164.34931454491,NA,NA,NA,NA,NA,NA,NA
"17",17,"BOUSUC","Bourreria succulenta",2482,5249,4460,5286,2804,22.2397319434701,4.87903988948787,56.8654912307692,19.359867682988,51.6497755429309,22.8239118758192,1377.17276024111,1272.38227798725,1282.63689056117,1263.35553890893,NA,NA,NA,NA,NA,NA,NA
"18",18,"BOUVIR","Bourreria virgata",2869,4675,3935,4529,1660,1.01794709115772,1.02861777982615,NA,0.676359849816685,NA,1.87602253722072,1497.11922556947,1475.93555538837,1495.16186667425,1459.67935945722,0.674486615176817,0.404224310313679,-0.107905463893546,-0.821838286702707,-0.0283248763764576,-0.184414158568658,0.074357095309147
"19",19,"BUCBUC","Bucida buceras",4413,9353,11972,12714,8301,2.28472492158511,12.2881433502025,NA,2.5041914380205,NA,3.36510234465691,1375.31499892924,1195.81192565243,1178.13615236906,1165.62722366832,1.41603783835521,-0.0147571714742802,-0.107872283528741,-0.669445231923314,1.15825778263731,-0.182318475517073,0.217222685486362
"20",20,"BUCTET","Buchenavia tetraphylla",3175,6846,11130,10457,7282,0.27790293414911,1.04384376723096,NA,0.248936394241085,NA,0.243787639503494,1330.42471169807,1248.94369408877,1178.81323252211,1071.00574385233,NA,NA,NA,NA,NA,NA,NA
"21",21,"BURSIM","Bursera simaruba",2406,4124,3121,3801,1395,9.86501932595323,7.90919291419177,54.4395300769231,11.7070276575133,47.2589134512543,9.3485486020213,1499.215572044,1401.12297547762,1389.86794710132,1354.77727126133,-1.5593631759034,-0.409113296409503,-0.0893161836864425,-0.0640816482551541,0.683624719031802,-0.17254914082998,0.729707160489835
"22",22,"BYRCRA","Byrsonima crassifolia",575,1007,2700,2790,2215,NA,NA,0.231463307692308,NA,NA,NA,1695.14797221765,1512.35635400008,1528.75254791438,1297.31532087122,NA,NA,NA,NA,NA,NA,NA
"23",23,"BYRLUC","Byrsonima lucida",1582,2922,4483,4837,3255,4.21434727715943,4.48488975724771,NA,4.89749216141162,NA,6.5297137071642,1431.54331191557,1319.62296027161,1239.66506326544,1263.72652255811,NA,NA,NA,NA,NA,NA,NA
"24",24,"BYRSPI","Byrsonima spicata",898,2726,3534,3113,2215,0.865189585973567,1.01629772256326,NA,1.19691826521581,NA,0.695549504416745,1667.28628554603,1315.7021592142,1345.69638947163,1306.48376684389,-0.0444035631259603,-0.837829692337445,-0.105795544268656,1.05645224452962,1.51423258034144,-0.173662103009522,0.261995077762662
"25",25,"BYRWAD","Byrsonima wadsworthii",1521,2353,3495,3161,1640,0.366570568976906,0.397964682610799,NA,0.365342127024147,NA,0.398933766479152,1257.92272357923,1297.02652061598,1067.60692938697,1070.16904137291,-0.550101175775005,0.362148569581551,-0.104390379991342,-0.725415605125239,0.446308187229049,0.202517663482448,0.584732974404536
"26",26,"CALANT","Calophyllum antillanum",3323,6745,7175,7127,3804,4.57221003863783,5.09659539226568,NA,9.89653826266934,NA,7.36921077798143,1417.37652387804,1245.99877206748,1193.2189784525,1206.1789722095,-0.083551637063891,0.339198165009342,-0.094901898619425,-0.0993970008816583,2.34484044165107,-0.0633551847704422,1.38361493841862
"27",27,"CALPAL","Calyptranthes pallens",1153,1951,1507,1785,632,0.67863139410515,NA,NA,0.338179924908343,NA,0.738544385370785,1752.52273342656,1636.39515397388,1641.00183174198,1625.14007506395,NA,NA,NA,NA,NA,NA,NA
"28",28,"CASACU","Casearia aculeata",3240,6222,7073,7793,4553,1.3572627882103,NA,NA,1.35271969963337,NA,1.10781657805618,1394.44291790745,1227.15176540447,1228.8642870235,1188.3085309693,NA,NA,NA,NA,NA,NA,NA
"29",29,"CASARB","Casearia arborea",2346,5007,8484,7723,5377,7.3385682514542,8.43852067001015,NA,9.3937731806635,NA,5.98574970044416,1320.52259343654,1207.00575294604,1122.93184139475,1026.72042077253,-0.11154016017911,-0.66654615848512,-0.106205532103584,0.494930648347592,1.51423258034144,-0.18681360609778,0.452946105585917
"30",30,"CASDEC","Casearia decandra",3133,7242,7794,7806,4673,2.47377297405656,3.18713481294596,NA,2.73260160138255,NA,2.4430930640387,1369.63238524968,1245.73478211463,1202.39408776944,1184.32472644921,0.536747926425505,-1.24481685534166,-0.107160140759521,1.59506397964658,-0.62161620588334,-0.176122986050954,-1.30312215862757
"31",31,"CASELA","Castilla elastica",6497,13153,18205,18297,11800,0.0817646157729944,NA,NA,0.0543244042316082,NA,0.0593231475875186,1275.08424119104,1178.85625130357,1161.06306492212,1107.6659541048,-2.22461575384281,-0.574992923893435,-0.0237121265269851,1.67246679114905,-1.57088233309435,-0.116755110144881,-0.526156897602523
"32",32,"CASEQU","Casuarina equisetifolia",1158,1727,1458,1686,528,NA,NA,NA,0.162973212694825,NA,NA,1785.83950827733,1620.31013940753,1707.56199264334,1659.05019539418,NA,NA,NA,NA,NA,NA,NA
"33",33,"CASGUI","Casearia guianensis",3230,7624,8504,8585,5355,44.3280959441179,54.3141454461815,NA,52.8020587484159,NA,43.7276751693671,1403.4494223774,1225.12907749098,1143.32326711069,1153.25222934037,0.695809110633169,-0.997717506726097,-0.100980765502226,0.680883294256515,-0.0283248763764576,0.0150216600350172,-0.856644586547003
"34",34,"CASSYL","Casearia sylvestris",4699,9972,15647,15140,10441,42.8959157877149,43.5235172305948,NA,51.4127955894395,NA,33.997881799325,1274.17810378456,1175.57120347642,1111.28193068155,1082.29211871651,-0.0622878316686868,-0.808868468784747,-0.0977451652623892,0.114122028292026,-0.384299674080587,-0.186646661770849,-0.54154074321785
"35",35,"CECSCH","Cecropia schreberiana",3156,6756,12562,11881,8725,11.766581216735,14.5279955470865,NA,10.0260154021285,NA,9.33493877430232,1278.17221457668,1226.63651875669,1127.39772035152,1063.70283010531,-2.17912975246746,0.173384533379049,0.253034959686771,0.0850548566397209,1.15825778263731,-0.186943451685393,1.62124452954135
"36",36,"CEDODO","Cedrela odorata",6806,13499,18539,18594,11788,0.109019487697326,0.137730223338536,NA,0.473990935487363,NA,0.118646295175037,1271.80928740416,1176.75769099868,1171.33521706418,1112.27855372655,NA,NA,NA,NA,NA,NA,NA
"37",37,"CEIPEN","Ceiba pentandra",3304,6475,7714,8357,5053,0.400109993808109,NA,NA,0.421278475658432,NA,0.42611738483436,1407.74566809745,1215.07833699068,1194.35907869969,1160.28113223707,-2.15738165090939,-2.37151516076088,-0.0344682484334653,2.75156249563676,2.34484044165107,-0.179721563764808,0.502130258231987
"38",38,"CHIDOM","Chionanthus domingensis",4245,8076,10138,9938,5693,0.733141137953813,0.370418637943092,NA,0.419666531255755,NA,1.50675034453533,1275.4244433945,1187.51090042694,1151.99928691259,1087.92636589264,1.00179083253732,-0.358056962626666,-0.0931732528450739,-0.0205458570924409,0.920941250834555,-0.138649150736155,-0.0234579815934119
"39",39,"CHRARG","Chrysophyllum argenteum",3400,7116,7755,7662,4262,1.01794709115772,NA,NA,1.07047612335931,NA,0.912915603971226,1390.55312408412,1229.73990173875,1229.04884092626,1196.03196401518,0.593375537541594,-0.453059145231096,-0.099849890040677,0.554193232508444,1.03959951673593,-0.157771476334946,0.0484260013842659
"40",40,"CHRCAI","Chrysophyllum cainito",5946,11780,15644,15873,9927,0.486298486485824,0.955433627986579,NA,0.452917252973085,NA,0.432925373041858,1276.12624775905,1197.15607570904,1168.7331580163,1124.57459745007,NA,NA,NA,NA,NA,NA,NA
"41",41,"CHRICA","Chrysobalanus icaco",927,1542,2602,2610,1683,4.41110406168347,0.370418637943092,NA,3.71997917399177,NA,2.95417754148314,1689.23537849458,1423.19001307893,1472.23843317984,1420.26259290379,NA,NA,NA,NA,NA,NA,NA
"42",42,"CHRPAU","Chrysophyllum pauciflorum",1659,4018,5959,6282,4623,0.222325881496323,0.346937918916894,0.231463307692308,0.17032316002633,0.231857974553069,0.26215653192768,1501.15865664957,1361.11833496759,1320.44799030891,1305.37754330338,NA,NA,NA,NA,NA,NA,NA
"43",43,"CINELO","Cinnamomum elongatum",4074,9202,14437,14093,10019,3.6186720986814,5.34420991825536,NA,3.3572757897304,NA,2.97067960329782,1291.64136440913,1199.41659079403,1137.64726752409,1085.63154348143,-0.574237481792789,-1.11505989060492,-0.104208034102716,0.601536130870474,2.10752390984832,-0.241936079036319,0.716625197214764
"44",44,"CINMON","Cinnamomum montanum",3409,7820,10095,9901,6492,0.456366507108594,0.425510727278506,NA,0.0904397567451089,NA,0.555901700985842,1345.78544782959,1219.06911748373,1149.24583464185,1117.61396455364,-1.01836476046341,-0.880087578950256,-0.105100687528772,0.20183309390077,0.802282984933178,-0.0974837324866615,0.319112323260122
"45",45,"CITCAU","Citharexylum caudatum",1556,3199,4091,3733,2177,NA,NA,NA,0.676359849816685,NA,NA,1301.81342284588,1158.54938909618,1067.00966470043,1003.86220128023,NA,NA,NA,NA,NA,NA,NA
"46",46,"CITSPI","Citharexylum spinosum",3083,7640,9348,9653,6570,0.089795938131688,NA,NA,NA,NA,0.127306360712931,1358.76514918524,1204.77498030838,1148.62214627895,1141.00250864617,-0.0473913807029352,0.758134109589439,-0.101589895800149,0.365531522951682,0.446308187229049,-0.177978454765455,0.544055636798426
"47",47,"CLUCLU","Clusia clusioides",1242,2188,3399,3216,1974,NA,0.97728702032587,NA,0.0814866063474123,NA,NA,1798.0081684389,1621.07785248815,1483.96473292672,1482.99407564881,NA,NA,NA,NA,NA,NA,NA
"48",48,"CLUROS","Clusia rosea",2893,4497,4027,4488,1595,4.0888446438996,2.92724433144926,NA,4.09858159889471,NA,4.47041789464509,1501.77483392865,1631.84046459957,1482.01890662368,1545.82130329,0.422316947200249,5.89866029544824,-0.0872495934674086,-1.56483757403564,1.15825778263731,-0.185610271389259,3.37711320945042
"49",49,"COCDIV","Coccoloba diversifolia",3371,5418,4506,5221,1850,9.07409839544595,7.38920477355761,5.76656015384615,10.4367843042135,NA,9.32198228445655,1556.29385245554,1509.41787337443,1503.12619158298,1469.39347796867,NA,NA,NA,NA,NA,NA,NA
"50",50,"COCKRU","Coccoloba krugii",658,1071,806,979,321,4.75041975873605,3.77159852602923,NA,5.07269887362514,NA,5.53908289028089,1895.47592283724,1529.0107587309,1609.26603127337,1616.11011636614,0.673812462346915,1.28326120883541,-0.107572654710907,-1.12636515532066,-1.27423666834091,-0.18417919988631,-0.122691952942324
"51",51,"COCMIC","Coccoloba microstachya",956,1731,1616,1857,901,11.1956132142913,5.49895628129799,441.373315076923,10.7015373447878,560.541948423515,14.6477286139294,1654.57419268141,1393.18670960984,1455.48676354681,1318.08291300614,0.747497622148913,0.791758273589159,-0.108340160063609,-0.979343223008478,-0.740274471784717,-0.182442137981467,-0.118687877686614
"52",52,"COCPUB","Coccoloba pubescens",2897,5009,5012,5457,2560,NA,5.79664497592359,0.231463307692308,NA,NA,NA,1434.56347139906,1387.02218391889,1328.27050069579,1315.24157354172,NA,NA,NA,NA,NA,NA,NA
"53",53,"COCPYR","Coccoloba pyrifolia",1843,2625,3471,3251,1408,0.400109993808109,NA,NA,NA,NA,0.42611738483436,1314.2173784828,1440.69055506584,1680.211708184,1247.11455194799,-0.0619562551506342,0.370071922768185,-0.101145132831761,-0.76971393596539,-0.97759100358747,-0.181625965716469,-0.181959773183273
"54",54,"COCRUG","Coccoloba rugosa",1573,4508,5999,5504,3931,4.47426146260533,NA,NA,4.72939528251154,NA,5.55038135456841,1511.56414014902,1360.91740902951,1234.77816247623,1215.24021765185,0.435469597350807,1.2963392968387,0.174987927381609,-1.41095341139379,-0.0283248763764576,-0.24649743078675,0.826740119370947
"55",55,"COCSIN","Coccoloba sintenisii",333,420,434,445,112,1.72383335718721,0.342872593275385,NA,0.0271622021158041,NA,1.84636096342696,1879.33891053381,1684.53059410968,4053.24573341001,2045.09494777825,0.102157689424934,1.37681142659522,-0.0796419242548518,-1.18957544753242,-0.97759100358747,-0.208362148338768,0.301205019845287
"56",56,"COCSWA","Coccoloba swartzii",2322,5070,8232,7795,5473,NA,0.342872593275385,NA,NA,NA,NA,1342.4889719391,1267.25889201771,1223.95601793868,1119.06528212145,NA,NA,NA,NA,NA,NA,NA
"57",57,"COCUVI","Coccoloba uvifera",5946,11780,15644,15873,9927,0.0987706338156028,NA,NA,0.0879838142030917,NA,0.104231284753209,1276.12624775905,1197.15607570904,1168.7331580163,1124.57459745007,0.303796995295243,2.08911182069666,-0.0642147553123307,-1.01352047806875,-0.97759100358747,-0.108862971667282,0.503415877345114
"58",58,"COCVEN","Coccoloba venosa",3352,7536,7689,8330,4978,0.67863139410515,NA,NA,1.00812829246642,NA,0.747676203680033,1422.4121420216,1288.55344353803,1211.7235223565,1185.65213187135,NA,NA,NA,NA,NA,NA,NA
"59",59,"COFARA","Coffea arabica",2528,6205,11490,11233,8705,5.08973545578862,11.0690860390294,NA,12.3422863426032,NA,2.58490534879775,1309.21140922132,1254.93161537438,1184.44686345754,1107.37741777635,-0.101649406743054,-0.279042000899207,-0.0967519797659374,0.449944134108374,-0.97759100358747,-0.163732007118717,-0.652768673752059
"60",60,"COJARB","Cojoba arborea",3674,5751,4817,5498,1824,0.366570568976906,1.26598474124021,NA,0.365342127024147,NA,0.398933766479152,1533.94151744084,1510.49520613067,1515.30202739826,1502.9821462002,-0.646603519868885,-1.04165113642478,-0.0761536736617918,-0.875967165909394,-1.27423666834091,-0.0819045544294803,-0.772129541131779
"61",61,"COLARB","Colubrina arborescens",2253,3615,3187,3652,1399,0.745710243767556,1.71436296637692,NA,1.57646509417051,NA,0.792911622081201,1461.64134064373,1493.45712657068,1516.59588321105,1446.83015940848,1.04822033472521,-0.019811724827079,-0.097810264247555,-0.747587163144072,-0.265641408179211,-0.185153437513296,-0.372923317198321
"62",62,"COMDOD","Comocladia dodonaea",860,1516,1108,1396,536,0.67863139410515,0.866563438508563,20.1829605384615,0.676359849816685,25.9937670826838,0.738544385370785,1849.14716526226,1380.36295742859,1604.88172221969,1477.12968776108,0.864979766684486,-0.424613134312331,-0.102291023032675,-0.957403001067079,-1.03692013653816,1.24615035008249,-1.31118811257268
"63",63,"COMGLA","Comocladia glabra",1821,2865,2453,2750,929,1.01794709115772,0.342872593275385,NA,0.338179924908343,NA,1.47708877074157,1042.43700322657,1292.62054018829,1222.86070460408,1194.19316287038,0.434476269620319,-1.20929837319925,-0.106568623360607,1.00951896995783,-0.858932737686093,0.879829832067175,-1.61650057210864
"64",64,"CONERE","Conocarpus erectus",1876,3420,4228,4708,2832,0.421080312825569,0.768383320553891,NA,0.757846456164098,NA,0.458256914066671,1466.205173744,1304.57431641668,1281.73815890587,1246.2523045371,NA,NA,NA,NA,NA,NA,NA
"65",65,"CORALL","Cordia alliodora",2341,6107,11161,10800,8459,4.48707237991469,2.81456407554947,NA,5.23113434933842,NA,3.16185681331308,1354.34542667568,1310.67868318762,1211.87870029989,1153.17688705214,-0.615072548772193,-0.335215846566455,-0.100954615703938,-0.0130327785343077,-1.21490753539022,-0.182936787839041,-0.548844721692624
