CN,RSCD,NAME,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE
270781632732862,24,New Hampshire P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781630732862,24,New Hampshire Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781631732862,24,New Hampshire Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781622732862,24,Maine Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781621732862,24,Maine Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781623732862,24,Maine P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
268905616732862,33,Louisiana Annual Inventory,JMCHAN,2021-05-26 09:49:07,290487,JTURNER02,2021-05-28 05:38:44,290487
268905626732862,33,Louisiana Periodic Inventory,JMCHAN,2021-05-26 09:49:07,290487,JTURNER02,2021-05-28 05:33:14,290487
270781617732862,24,Connecticut P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
833968347290487,22,FIA Nevada Annual Inventory,DABOYER,2021-05-05 09:06:21,290487,,,
833968357290487,22,FIA Wyoming Annual Inventory,DABOYER,2021-05-05 09:06:21,290487,,,
270781624732862,24,Maryland Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781625732862,24,Maryland Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781626732862,24,Maryland P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781616732862,24,Connecticut Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781615732862,24,Connecticut Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781599732862,23,Minnesota P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781598732862,23,Minnesota Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781597732862,23,Minnesota Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
268905619732862,33,Mississippi Annual Inventory,JMCHAN,2021-05-26 09:49:07,290487,JTURNER02,2021-05-28 05:38:44,290487
268905630732862,33,Mississippi Periodic Inventory,JMCHAN,2021-05-26 09:49:07,290487,JTURNER02,2021-05-28 05:33:14,290487
268905627732862,33,South Carolina Annual Inventory,JMCHAN,2021-05-26 09:49:08,290487,JTURNER02,2021-05-28 05:38:44,290487
268905623732862,33,South Carolina Periodic Inventory,JMCHAN,2021-05-26 09:49:08,290487,JTURNER02,2021-05-28 05:33:14,290487
270781634732862,24,New Jersey Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781633732862,24,New Jersey Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781635732862,24,New Jersey P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
794502809290487,0,Dummy_Project,,,,,,
268905607732862,33,Tennessee Periodic Inventory,JMCHAN,2021-05-26 09:49:08,290487,JTURNER02,2021-05-28 05:33:14,290487
268905628732862,33,Tennessee Annual Inventory,JMCHAN,2021-05-26 09:49:08,290487,JTURNER02,2021-05-28 05:38:44,290487
270781609732862,23,South Dakota Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781611732862,23,South Dakota P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781610732862,23,South Dakota Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
794702382290487,26,FIA Hawaii Annual Inventory,JASONBROWN,2021-05-03 12:48:33,290487,,,
270781591732862,23,Kansas Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781593732862,23,Kansas P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781592732862,23,Kansas Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
833968345290487,22,FIA New Mexico Annual Inventory,DABOYER,2021-05-05 09:06:21,290487,,,
268905610732862,33,Florida Annual Inventory,JMCHAN,2021-05-26 09:49:07,290487,JTURNER02,2021-05-28 05:38:44,290487
794708798290487,26,PNWRS Micronesia Challenge Inventory,JASONBROWN,2021-05-03 12:48:36,290487,,,
794708796290487,26,FIA Commonwealth of the Northern Mariana Islands Annual Inventory,JASONBROWN,2021-05-03 12:48:36,290487,,,
794708797290487,26,FIA Palau Annual Inventory,JASONBROWN,2021-05-03 12:48:36,290487,,,
270781608732862,23,North Dakota P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781606732862,23,North Dakota Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781607732862,23,North Dakota Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
268905614732862,33,Kentucky Annual Inventory,JMCHAN,2021-05-26 09:49:07,290487,JTURNER02,2021-05-28 05:38:44,290487
268905613732862,33,Kentucky Periodic Inventory,JMCHAN,2021-05-26 09:49:07,290487,JTURNER02,2021-05-28 05:33:14,290487
268905617732862,33,Florida Periodic Inventory,JMCHAN,2021-05-26 09:49:07,290487,JTURNER02,2021-05-28 05:33:14,290487
794701915290487,27,FIA Coastal Alaska Periodic Inventory,JASONBROWN,2021-05-03 13:08:38,290487,,,
794701988290487,27,FIA Coastal Alaska P3 Ozone Survey,JASONBROWN,2021-05-03 13:08:38,290487,,,
794701916290487,27,FIA Interior Alaska Annual Inventory,JASONBROWN,2021-05-03 12:48:31,290487,,,
794701918290487,27,FIA Coastal Alaska Annual Inventory,JASONBROWN,2021-05-03 12:48:32,290487,,,
270781614732862,23,Wisconsin P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781612732862,23,Wisconsin Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781613732862,23,Wisconsin Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
833968351290487,22,FIA Colorado Annual Inventory,DABOYER,2021-05-05 09:06:21,290487,,,
270781651732862,24,West Virginia Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781652732862,24,West Virginia Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781653732862,24,West Virginia P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781627732862,24,Massachusetts Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781628732862,24,Massachusetts Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781629732862,24,Massachusetts P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
268905633732862,33,Virginia Annual Inventory,JMCHAN,2021-05-26 09:49:08,290487,JTURNER02,2021-05-28 05:38:44,290487
268905611732862,33,Virginia Periodic Inventory,JMCHAN,2021-05-26 09:49:08,290487,JTURNER02,2021-05-28 05:33:14,290487
268905609732862,33,Arkansas Annual Inventory,JMCHAN,2021-05-26 09:49:07,290487,JTURNER02,2021-05-28 05:38:44,290487
268905618732862,33,Arkansas Periodic Inventory,JMCHAN,2021-05-26 09:49:07,290487,JTURNER02,2021-05-28 05:33:14,290487
270781600732862,23,Missouri Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781602732862,23,Missouri P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781601732862,23,Missouri Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781584732862,23,Illinois P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781582732862,23,Illinois Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781583732862,23,Illinois Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781594732862,23,Michigan Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781596732862,23,Michigan P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781595732862,23,Michigan Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781605732862,23,Nebraska P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781604732862,23,Nebraska Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
268905615732862,33,Georgia Periodic Inventory,JMCHAN,2021-05-26 09:49:07,290487,JTURNER02,2021-05-28 05:33:14,290487
268905612732862,33,Georgia Annual Inventory,JMCHAN,2021-05-26 09:49:07,290487,JTURNER02,2021-05-28 05:38:44,290487
270781642732862,24,Pennsylvania Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781644732862,24,Pennsylvania P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
268905608732862,33,Texas East Periodic Inventory,JMCHAN,2021-05-26 09:49:08,290487,JTURNER02,2021-05-28 05:33:14,290487
270700304732862,33,Texas West/Central Annual Inventory,JMCHAN,2021-05-26 09:49:08,290487,JTURNER02,2021-05-28 05:38:44,290487
270700303732862,33,Texas East Annual Inventory,JMCHAN,2021-05-26 09:49:08,290487,JTURNER02,2021-05-28 05:38:44,290487
833968355290487,22,FIA Montana Annual Inventory,DABOYER,2021-05-05 09:06:21,290487,,,
270781647732862,24,Rhode Island P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781646732862,24,Rhode Island Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
833968349290487,22,FIA Utah Annual Inventory,DABOYER,2021-05-05 09:06:21,290487,,,
270781645732862,24,Rhode Island Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781643732862,24,Pennsylvania Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
268905625732862,33,Puerto Rico Annual Inventory,JMCHAN,2021-05-26 09:49:08,290487,JTURNER02,2021-05-28 05:33:01,290487
270781649732862,24,Vermont Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781650732862,24,Vermont P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781648732862,24,Vermont Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
268905632732862,33,US Virgin Islands Annual Inventory,JMCHAN,2021-05-26 09:49:08,290487,JTURNER02,2021-05-28 05:33:01,290487
794705690290487,26,FIA American Samoa Annual Inventory,JASONBROWN,2021-05-03 12:48:35,290487,,,
794705691290487,26,FIA Federated States of Micronesia Annual Inventory,JASONBROWN,2021-05-03 12:48:35,290487,,,
270781603732862,23,Nebraska Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
268905629732862,33,Oklahoma East Periodic Inventory,JMCHAN,2021-05-26 09:49:08,290487,JTURNER02,2021-05-28 05:33:14,290487
270739969732862,33,Oklahoma West and Central Annual Inventory,JMCHAN,2021-05-27 05:02:44,290487,JTURNER02,2021-05-28 05:38:44,290487
268905622732862,33,Oklahoma East Annual Inventory,JMCHAN,2021-05-26 09:49:08,290487,JTURNER02,2021-05-28 05:38:44,290487
270781639732862,24,Ohio Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781640732862,24,Ohio Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781641732862,24,Ohio P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781586732862,23,Indiana Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781587732862,23,Indiana P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781585732862,23,Indiana Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781636732862,24,New York Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781637732862,24,New York Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781638732862,24,New York P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
833968343290487,22,FIA Arizona Annual Inventory,DABOYER,2021-05-05 09:06:21,290487,,,
833968353290487,22,FIA Idaho Annual Inventory,DABOYER,2021-05-05 09:06:21,290487,,,
268905606732862,33,Alabama Annual Inventory,JMCHAN,2021-05-26 09:49:07,290487,JTURNER02,2021-05-28 05:38:44,290487
270739971732862,33,Oklahoma West and Central Periodic Inventory,JMCHAN,2021-05-27 05:03:28,290487,JTURNER02,2021-05-28 05:33:14,290487
268905620732862,33,Alabama Periodic Inventory,JMCHAN,2021-05-26 09:49:07,290487,JTURNER02,2021-05-28 05:33:14,290487
270781618732862,24,Delaware Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
794706000290487,26,FIA Guam Annual Inventory,JASONBROWN,2021-05-03 12:48:35,290487,,,
794708795290487,26,FIA Marshall Islands Annual Inventory,JASONBROWN,2021-05-03 12:48:36,290487,,,
268905634732862,33,North Carolina Periodic Inventory,JMCHAN,2021-05-26 09:49:08,290487,JTURNER02,2021-05-28 05:33:14,290487
268905621732862,33,North Carolina Annual Inventory,JMCHAN,2021-03-10 09:06:07,67572,JTURNER02,2021-05-28 05:38:44,290487
270700301732862,33,North Carolina FHM 2002 Inventory,JMCHAN,2021-05-26 09:49:08,290487,JTURNER02,2021-05-28 05:38:44,290487
270781588732862,23,Iowa Periodic Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781589732862,23,Iowa Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781590732862,23,Iowa P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781620732862,24,Delaware P3 Ozone Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
270781619732862,24,Delaware Annual Inventory,FS_NIMS,2021-03-29 00:00:00,732862,,,
